time,left_command
9207421105,20
9208069753,20
9209146494,20
9210345809,20
9210979087,20
9212366365,20
9213121716,20
9214435142,20
9215207716,20
9216054790,20
9217281253,20
9218118513,20
9219121476,20
9220640790,20
9221410939,20
9222159790,20
9223119050,20
9224094753,20
9225084531,20
9226094031,20
9227106420,20
9228078383,20
9229298605,20
9230218087,20
9231177105,20
9232147902,20
9233129142,20
9234134605,20
9235149735,20
9236136513,20
9237113679,20
9238072827,20
9239096642,20
9240086902,20
9241123253,20
9242172550,20
9243109420,20
9244219327,20
9245153957,20
9246105846,20
9247184476,20
9248304772,20
9249203142,20
9250299124,20
9251260013,20
9252080587,20
9253078179,20
9254091679,20
9255048587,20
9256138364,20
9257120346,20
9258126994,20
9259343587,20
9260098790,20
9261085309,20
9262123994,20
9263265364,20
9264213364,20
9265221105,20
9266252624,20
9267076846,20
9268103753,20
9269130272,20
9270094124,20
9271212031,20
9272211031,20
9273173161,20
9274325587,20
9275206179,20
9276120957,20
9277117216,20
9278470587,20
9279165531,20
9280415050,20
9281029235,20
9282424457,20
9283740957,20
9284066864,20
9285180013,20
9286335994,20
9287484957,20
9288567050,20
9289128402,20
9290103735,20
9291534698,20
9292002179,20
9293393439,20
9294041716,20
9295423902,20
9296216679,20
9297187698,20
9299167735,20
9300455087,20
9303064198,20
9303280772,20
9303364642,20
9304505642,20
9305677753,20
9306017216,20
9307295031,20
9308077290,20
9309297716,20
9310152216,20
9311268883,20
9312179494,20
9313235290,20
9314244031,20
9315044827,20
9316481698,20
9317207050,20
9318310976,20
9319546439,20
9320469476,20
9321871883,20
9323227994,20
9323583290,20
9324033920,20
9325096420,20
9326220624,20
9327278698,20
9328257920,20
9329206198,20
9330005550,20
9331146401,20
9332137864,20
9333626790,20
9334448920,20
9335028383,20
9336257624,20
9337833957,20
9337965883,20
9339186513,20
9340165531,20
9341169031,20
9342052901,20
9343216161,20
9344089161,20
9345094772,20
9346091031,20
9347862031,20
9348018976,20
9349366124,20
9350143253,20
9351351735,20
9352760198,20
9353098216,20
9356285253,20
9357574457,20
9357727476,20
9358591087,20
9359216439,20
9360218179,20
9361089309,20
9362274105,20
9363296624,20
9364536198,20
9365238290,20
9366307790,20
9367269438,20
9368083976,20
9369077809,20
9369990624,20
9371129901,20
9372109253,20
9373566753,20
9374644031,20
9375671846,20
9377025550,20
9377178253,20
9378438994,20
9379871161,20
9380010883,20
9381110216,20
9382454679,20
9383134031,20
9384363772,20
9385038772,20
9386411142,20
9387345790,20
9388407809,20
9389063290,20
9390305494,20
9390935976,20
9392142735,20
9393386735,20
9394769883,20
9395532161,20
9396078957,20
9397051624,20
9398064272,20
9399169605,20
9400108864,20
9401038901,20
9402273587,20
9403319846,20
9404217827,20
9405773161,20
9406117883,20
9407303605,20
9408824364,20
9409395976,20
9410562235,20
9411086087,20
9412085198,20
9413162920,20
9414030716,20
9415103901,20
9416087031,20
9417034568,20
9418497716,20
9419382161,20
9420467550,20
9421462290,20
9422396142,20
9423092290,20
9424105772,20
9425113309,20
9426064938,20
9427558216,20
9427931809,20
9429526494,20
9430850864,20
9430993087,20
9432065753,20
9433181846,20
9434072383,20
9435338753,20
9436100438,20
9437130716,20
9438137550,20
9439161013,20
9440206105,20
9441081475,20
9442100124,20
9443092364,20
9444287272,20
9445000827,20
9446222346,20
9447352661,20
9448096568,20
9449076735,20
9450602975,20
9451118087,20
9452110309,20
9453104272,20
9454137827,20
9456106642,20
9457087642,20
9458107124,20
9459066679,20
9460080938,20
9461049753,20
9462129550,20
9463067994,20
9464254105,20
9465095087,20
9466121605,20
9467070587,20
9468360327,20
9469112068,20
9470857272,20
9471010198,20
9472205105,20
9473103105,20
9474132716,20
9475121568,20
9476300938,20
9478336550,20
9479790938,20
9480463068,20
9481219216,20
9482084494,20
9483417105,20
9484193013,20
9485055457,20
9486084716,20
9487345920,20
9488043938,20
9489470901,20
9490483087,20
9491231124,20
9492571550,20
9493672161,20
9494485087,20
9495119179,20
9496339846,20
9497074790,20
9498127438,20
9499093827,20
9500329327,20
9501387253,20
9502292994,20
9503244327,20
9504178550,20
9505277438,20
9506015438,20
9507396050,20
9508215475,20
9509167438,20
9510325012,20
9511137198,20
9512155790,20
9513442605,20
9514126938,20
9515392198,20
9516333605,20
9517296716,20
9518137216,20
9519358624,20
9520033587,20
9521230735,20
9522108698,20
9523087790,20
9524082938,20
9525076957,20
9526049290,20
9527058661,20
9528347790,20
9529118550,20
9530057142,20
9531272179,20
9532327087,20
9533288975,20
9534190809,20
9535231753,20
9535919772,20
9537054716,20
9538183790,20
9539245642,20
9540293679,20
9541067587,20
9542073272,20
9543350679,20
9544801142,20
9545595735,20
9546452957,20
9547286772,20
9548294327,20
9549429327,20
